"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,Supermarket,project,2024-03-01,2024-08-31,0,0,0,,,,,
1.1,"Project plan",group,2024-03-01,2024-04-03,0,0,0,,,,,
1.1.1,Team-plan,task,2024-03-15,2024-03-22,0,0,0,Stamatis,,,,blue2
1.1.2,Project-description,task,2024-03-15,2024-03-22,0,0,0,Christina,,,,blue2
1.1.3,Risk-assessment,task,2024-03-01,2024-03-15,0,0,0,"Christina, Stamatis, Stella",,,,blue2
1.1.4,Use-cases,task,2024-03-23,2024-04-02,0,0,0,"Christina, Stamatis, Stella",,,,blue2
1.1.5,"First domain-model",task,2024-03-25,2024-04-03,0,0,0,Stella,,,,blue2
1.1.6,Feasibility-study,task,2024-03-01,2024-03-15,0,0,0,"Christina, Stamatis, Stella",,,,blue2
1.2,"Project execution",group,2024-04-04,2024-07-16,0,0,0,,,,,
1.2.1,Gui ,task,2024-04-04,2024-05-07,0,0,0,"Christina, Stamatis, Stella",,,,purple2
1.2.2,user-case1,task,2024-05-07,2024-06-05,0,0,0,"Christina, Stamatis",,,,blue1
1.2.3,user-case2,task,2024-05-15,2024-06-15,0,0,0,"Stella, Stamatis",,,,blue1
1.2.4,user-case3,task,2024-06-05,2024-06-24,0,0,0,"Christina, Stella",,,,purple2
1.2.5,user-case4,task,2024-06-11,2024-06-28,0,0,0,"Christina, Stamatis",,,,blue1
1.2.6,user-case5,task,2024-06-17,2024-07-06,0,0,0,"Stamatis, Stella",,,,purple2
1.2.7,user-case6,task,2024-06-26,2024-07-13,0,0,0,"Christina, Stella",,,,purple2
1.2.8,user-case7,task,2024-06-24,2024-07-16,0,0,0,"Stamatis, Christina, Stella",,,,purple2
1.2.9,user-case8,task,2024-06-30,2024-07-11,0,0,0,"Christina, Stamatis, Stella",,,,purple2
1.2.10,Database,task,2024-04-04,2024-04-30,0,0,0,"Stella, Stamatis, Christina",,,,blue1
1.3,Testing,group,2024-07-17,2024-08-31,0,0,0,,,,,
1.3.1,"Unit testing",task,2024-07-17,2024-08-31,0,0,0,"Christina, Stamatis, Stella",,,,purple2
1.3.2,"Security testing",task,2024-08-01,2024-08-31,0,0,0,"Christina, Stamatis, Stella",,,,purple2
1.3.3,"System testing",task,2024-07-25,2024-08-31,0,0,0,"Christina, Stamatis, Stella",,,,purple2
